videoId,videoPublishedAt
oAJ6gpWqqjQ,2020-05-23T22:40:10Z
QG3Z0PXmtUU,2020-05-19T01:56:49Z
6UXH8nr0rTM,2020-05-12T22:58:17Z
dFOQdDkkOdA,2020-05-07T22:28:25Z
P5kX4i-Mjk8,2020-05-02T23:40:30Z
yXv7zj0wPgM,2020-04-21T23:51:16Z
jpwTwOIchLY,2020-04-17T00:49:58Z
hHz2Y9lZ7uY,2020-04-12T20:01:13Z
5j8Sl_CoH8U,2020-04-09T23:40:31Z
qwN2dPytI24,2020-04-05T21:05:26Z
SiA0YSDAliw,2020-04-01T23:31:04Z
MJhTe3pJ_LY,2020-03-28T21:00:05Z
s5xGpwfbLMw,2020-03-18T21:31:12Z
HlyJ9IXWTbg,2020-03-24T00:12:51Z
lujRz4rDO2M,2020-03-11T20:01:51Z
8jkof1HNCIY,2020-03-14T19:35:32Z
x8g5KNmGIc8,2020-03-07T22:01:06Z
BEmXjinhf-A,2020-03-03T22:43:01Z
my05fiYaWHw,2020-02-27T22:45:05Z
DowXqgGMAWI,2020-02-24T06:34:32Z
ynDi1UvZYW4,2020-02-19T05:48:50Z
NjgENfWOnsU,2020-02-17T20:26:02Z
Ay8yMtRuPfo,2020-02-10T00:44:53Z
tHGX4UK1SSU,2020-02-04T23:19:55Z
QLSkDS_JCxs,2020-01-29T21:59:25Z
QOwOQQzTEzM,2020-01-25T21:45:18Z
2VFfRpoMK84,2020-01-16T21:59:10Z
6ZrnIms7xkY,2020-01-12T22:30:19Z
oDhJEixhWn0,2020-01-08T21:12:37Z
pnKcr2iR9eY,2019-12-30T21:43:43Z
xbypTf7ufWQ,2019-12-27T22:25:22Z
BiksW3AUaiY,2019-12-21T22:05:12Z
yxwOSbVIOYA,2019-12-17T22:17:38Z
RZgGWEY339s,2019-12-23T23:25:32Z
dZHCFzfMgw8,2019-12-13T20:05:33Z
ojbDEfZ20Wg,2019-12-02T22:20:22Z
U539jKHZXFI,2019-12-10T02:32:12Z
Oeqh3473DzE,2019-11-28T23:32:04Z
e3mUtDZ9wKc,2019-11-25T21:44:03Z
W7DDO5_p25o,2019-11-17T19:04:07Z
KUQZOQ1M8PE,2019-11-21T21:36:00Z
YE0vnrZu7To,2019-11-13T22:54:37Z
4JPbDve7A_o,2019-11-08T21:13:44Z
d35mwd8W9bY,2019-11-04T21:04:52Z
1xvR4A33LO8,2019-10-31T18:48:39Z
Auz0oT-VoAU,2019-10-26T23:33:14Z
hTJ3USG_-hU,2019-10-19T16:06:55Z
2zz_O--mBmA,2019-10-10T22:33:22Z
PkjIx0-LZEI,2019-10-29T22:57:17Z
KpmuyrGXiE4,2019-10-22T22:41:14Z
